prey_taxon,prey_stage,prey_class,prey_order,prey_feeding
Amphipoda,NA,Malacostraca,Amphipoda,consumer
Aphid,a,Insecta,Hemiptera,consumer
Brachycera,a,Insecta,Diptera,consumer
Caelifera,a,Insecta,Orthoptera,consumer
Canacidae,a,Insecta,Diptera,consumer
Ceratopogonidae,a,Insecta,Diptera,non_consumer
Chironomidae,a,Insecta,Diptera,non_consumer
Circulionidae,a,NA,NA,consumer
Coleoptera,a,Insecta,Coleoptera,consumer
Corixidae,a,Insecta,Hemiptera,consumer
Culicidae,a,Insecta,Diptera,consumer
Diptera,a,Insecta,Diptera,consumer
Dolichopodidae,a,Insecta,Trichoptera,consumer
Dryomyzidae,a,Insecta,Diptera,consumer
Dytiscidae,a,Insecta,Coleoptera,consumer
Elmidae,a,Insecta,Coleoptera,consumer
Empididae,a,Insecta,Diptera,consumer
Ephemeroptera,a,Insecta,Ephemeroptera,non_consumer
Formicidae,a,Insecta,Hymenoptera,consumer
Gerridae,a,Insecta,Hemiptera,consumer
Hemiptera,a,Insecta,Hemiptera,consumer
Hydrophilidae,a,Insecta,Coleoptera,consumer
Muscidae,a,Insecta,Diptera,consumer
Simuliidae,a,Insecta,Diptera,consumer
Syrphidae,a,Insecta,Diptera,consumer
Trichoptera,a,Insecta,Trichoptera,non_consumer
Zygoptera,a,Insecta,Odonata,consumer
Orthoptera,a,Insecta,Orthoptera,consumer
Thysanoptera,a,Insecta,Thysanoptera,consumer
Canacidae,l,Insecta,Diptera,consumer
Carabidae,l,Insecta,Coleoptera,consumer
Ceratopogonidae,l,Insecta,Diptera,consumer
Chaoboridae,l,Insecta,Diptera,consumer
Chironomidae,l,Insecta,Diptera,consumer
Coleoptera,l,Insecta,Coleoptera,consumer
Corixidae,l,Insecta,Hemiptera,consumer
Culicidae,l,Insecta,Diptera,consumer
Diptera,l,Insecta,Diptera,consumer
Dolichopodidae,l,Insecta,Trichoptera,consumer
Dytiscidae,l,Insecta,Coleoptera,consumer
Empididae,l,Insecta,Ephemeroptera,consumer
Ephemeroptera,l,Insecta,Ephemeroptera,consumer
Ephydridae,l,Insecta,Diptera,consumer
Gyrinidae,l,Insecta,Coleoptera,consumer
Haliplidae,l,Insecta,Coleoptera,consumer
Hemiptera,l,Insecta,Hemiptera,consumer
Hydrophilidae,l,Insecta,Coleoptera,consumer
Muscidae,l,Insecta,Diptera,consumer
Phoridae,l,Insecta,Diptera,consumer
Psychodidae,l,Insecta,Diptera,consumer
Simuliidae,l,Insecta,Diptera,consumer
Stratiomyidae,l,Insecta,Diptera,consumer
Syrphidae,l,Insecta,Diptera,consumer
Trichoptera,l,Insecta,Trichoptera,consumer
Anisoptera,l,Insecta,Odonata,consumer
Aphidoidea,l,NA,NA,consumer
Lepidoptera,l,Insecta,Lepidoptera,consumer
Zygoptera,l,Insecta,Odonata,consumer
Fish,l,Actinopterygii,NA,consumer
Snail,NA,Gastropoda,Gastropoda,consumer
Cicadellidae,NA,Insecta,Hemiptera,unknown
Exuviae,NA,Insecta,NA,unknown
Homoptera,NA,Insecta,Hemiptera,unknown
Parasite,NA,NA,NA,unknown
Unknown,NA,NA,NA,unknown
Arachnid,NA,Arachnida,Araneae,consumer
Branchiopoda,NA,Branchiopoda,NA,consumer
Collembola,NA,Collembola,NA,consumer
Copepoda,NA,Hexanauplia,NA,consumer
Crayfish,NA,Malacostraca,NA,consumer
Fish,NA,Actinopterygii,NA,consumer
Frog,NA,Amphibia,Anura,consumer
Isopoda,NA,Malacostraca,Isopoda,consumer
Malacostraca,NA,Malacostraca,NA,consumer
Mite,NA,Arachnida,NA,consumer
Spider,NA,Arachnida,Araneae,consumer
Tetranathid,NA,Arachnida,Araneae,consumer
Worm,NA,Oligochaeta,NA,consumer
Ceratopogonidae,p,Insecta,Diptera,non_consumer
Chironomidae,p,Insecta,Diptera,non_consumer
Simuliidae,p,Insecta,Diptera,non_consumer
