"stage","guild","mean","sd","low95","median","high95"
"prop_l","Benthic",0.91,0.096,0.633,0.942,0.995
"prop_l","Intermediate",0.706,0.174,0.289,0.737,0.951
"prop_l","Surface",0.777,0.136,0.474,0.807,0.968
"prop_l","All Fish",0.797,0.116,0.514,0.822,0.955
"prop_p","Benthic",0.054,0.072,0.002,0.028,0.268
"prop_p","Intermediate",0.218,0.146,0.019,0.196,0.572
"prop_p","Surface",0.059,0.056,0.004,0.041,0.209
"prop_p","All Fish",0.11,0.077,0.014,0.094,0.299
"prop_a","Benthic",0.037,0.051,0.001,0.019,0.172
"prop_a","Intermediate",0.076,0.091,0.003,0.046,0.341
"prop_a","Surface",0.164,0.118,0.018,0.137,0.443
"prop_a","All Fish",0.092,0.076,0.012,0.073,0.291
